PKI,Variant,Distributed,Subscribe,Cache,Firewall,Attack Origin,Revocation Origin,Message Time,message_time,firewall,delivered_count,delivered_ratio,delivered_count_earth,delivered_count_moon,delivered_count_mars,latency_dropped_min,latency_dropped_max,latency_dropped_mean,latency_dropped_std,latency_accepted_min,latency_accepted_max,latency_accepted_mean,latency_accepted_std,delivered_ratio_earth,delivered_ratio_moon,delivered_ratio_mars
OCSP,--,\cmark,,\cmark,,Earth,Earth,3200,3200,False,27,9.64285714285714,20,7,0,0.0685096638039794,3729.3714127778494,177.1642845131706,792.6486011441488,0.0166534969284839,1.3892147690980892,0.3918929769408721,0.5774369782056978,7.8125,58.333333333333336,0.0
OCSP,--,\cmark,,\cmark,,Earth,Earth,12100,12100,False,23,8.21428571428571,23,0,0,0.1090025810790393,3649.3750173202006,231.1528571028385,804.2918772505801,0.05983077199744,0.1302922522063454,0.1004882585576801,0.0184789086820058,8.984375,0.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Earth,16000,16000,False,12,4.28571428571428,0,12,0,0.04236301007586,1259.4868951320605,56.58969279185966,260.4276475509249,1.3154131410447008,1.4098903625708772,1.3658834788154006,0.02803300836322,0.0,100.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Earth,34700,34700,False,17,6.07142857142857,6,0,11,0.0593800305505283,2965.07227257728,129.7376332514882,574.541046815063,0.0412977609885274,1259.4278236380703,814.924885103063,601.8132751575823,2.34375,0.0,91.66666666666666
OCSP,--,\cmark,,\cmark,,Earth,Moon,3200,3200,False,253,90.35714285714286,253,0,0,1.3381792045138354,3729.3714127778494,1659.2390598214156,1851.5837780247723,0.0166534969284839,0.2369681383679562,0.1331639408353446,0.0515807958473887,98.828125,0.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Moon,12100,12100,False,256,91.42857142857143,256,0,0,1296.2937608012016,3649.3750173202006,2472.8609634056947,1176.512905842284,0.05983077199744,5.155744121606404,0.2341108735923711,0.6167648876579053,100.0,0.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Moon,16000,16000,False,264,94.28571428571428,252,0,12,1.3154131410447008,5.137896230909973,2.303436554371956,1.6241148616127612,0.04236301007586,1259.4868951320605,57.36959577687205,262.31549988360206,98.4375,0.0,100.0
OCSP,--,\cmark,,\cmark,,Earth,Moon,34700,34700,False,268,95.71428571428572,256,0,12,2711.305761174066,2965.07227257728,2732.4709255661546,70.13194513866038,0.0412977609885274,1259.4425761276652,56.66070703395379,260.4029661758504,100.0,0.0,100.0
OCSP,--,\cmark,,\cmark,,Earth,Mars,3200,3200,False,268,95.71428571428572,256,12,0,3729.361813120103,3729.3714127778494,3729.370612806371,0.0026532052384274,0.0166534969284839,10.163604382805715,0.3011109646757978,1.0771626307065252,100.0,100.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Mars,12100,12100,False,268,95.71428571428572,256,12,0,3649.361238560725,3649.3750173202006,3649.373869090244,0.0038082479381558,0.05983077199744,1296.388644645629,58.26906371751264,268.05264302516434,100.0,100.0,0.0
